country,label,level,dependence
Slovenia,Hydroelectric pumped storage,1.0,0.0
Japan,Solar,4.0,0.055549944450055545
Japan,Tide and wave,4.0,0.0201999798000202
Japan,Nuclear,1.0,0.01211998788001212
Japan,Fossil fuels,1.0,0.7787092212907787
Japan,"Solar, tide, wave, fuel cell",3.0,0.07574992425007575
Japan,Wind,0.0,0.0065649934350065645
Japan,Geothermal,3.0,0.002221997778002222
Japan,Hydroelectricity,2.0,0.08382991617008383
Japan,Non-hydro renewable,2.0,0.12624987375012625
Japan,Renewable,1.0,0.21007978992021006
Japan,Total Electricity net generation,0.0,0.9968690031309968
Japan,Biomass and waste,3.0,0.04140995859004141
Japan,Hydroelectric pumped storage,1.0,-0.003130996869003131
Cambodia,Solar,4.0,0.0
Cambodia,Tide and wave,4.0,0.0
Cambodia,Nuclear,1.0,0.0
Cambodia,Fossil fuels,1.0,0.5970149253731343
Cambodia,Wind,0.0,0.0
Cambodia,"Solar, tide, wave, fuel cell",3.0,0.0
Cambodia,Geothermal,3.0,0.0
Cambodia,Hydroelectricity,2.0,0.40298507462686567
Cambodia,Renewable,1.0,0.41791044776119385
Cambodia,Non-hydro renewable,2.0,0.0
Cambodia,Total Electricity net generation,0.0,1.0
Cambodia,Biomass and waste,3.0,0.0
Cambodia,Hydroelectric pumped storage,1.0,0.0
Slovakia,Tide and wave,4.0,0.0038314176245210726
Slovakia,Solar,4.0,0.019157088122605363
Slovakia,Fossil fuels,1.0,0.2030651340996168
Slovakia,Nuclear,1.0,0.5363984674329502
Slovakia,Wind,0.0,0.0
Slovakia,"Solar, tide, wave, fuel cell",3.0,0.022988505747126402
Slovakia,Biomass and waste,3.0,0.06513409961685825
Slovakia,Geothermal,3.0,0.0
Slovakia,Non-hydro renewable,2.0,0.0919540229885057
Slovakia,Hydroelectricity,2.0,0.16475095785440608
Slovakia,Renewable,1.0,0.2567049808429119
Slovakia,Total Electricity net generation,0.0,0.9961685823754789
Slovakia,Hydroelectric pumped storage,1.0,-0.0038314176245210726
